date,A1,A2,A3,A4,A5,A6,A7,A8,label
2021-02-01 21:40:00,42986.0,20826.0,118697.0,118371.0,13039.0,1289527,453207,234473,0
2021-02-01 21:50:00,39739.0,20044.0,111103.0,111925.0,11938.0,1256436,426663,219897,0
2021-02-01 22:00:00,37773.0,20353.0,103688.0,103499.0,11049.0,1243520,413425,211358,0
2021-02-01 22:10:00,33797.0,18866.0,95574.0,95968.0,10049.0,1213932,386881,196893,0
2021-02-01 22:20:00,32085.0,18542.0,91769.0,92388.0,9123.0,1194302,370141,185065,0
2021-02-01 22:30:00,30143.0,18478.0,86569.0,86485.0,8437.0,1172434,350900,172619,0
2021-02-01 22:40:00,27771.0,18189.0,79589.0,79496.0,7541.0,1152053,335147,165248,0
2021-02-01 22:50:00,25575.0,17287.0,72902.0,73891.0,6701.0,1126551,318156,155465,0
2021-02-01 23:00:00,22845.0,16191.0,66753.0,67653.0,5975.0,1111609,303675,147245,0
2021-02-01 23:10:00,20392.0,15523.0,60612.0,60801.0,5077.0,1091564,288417,136310,0
2021-02-01 23:20:00,17844.0,14933.0,54143.0,54850.0,4443.0,1080826,274359,127708,0
2021-02-01 23:30:00,15867.0,14468.0,48510.0,48285.0,4154.0,1067742,263380,120870,0
2021-02-01 23:40:00,14872.0,13936.0,45122.0,45345.0,3635.0,1054131,252155,115124,0
2021-02-01 23:50:00,13439.0,13706.0,41520.0,42065.0,3307.0,1044220,245670,110400,0
2021-02-02 00:00:00,12491.0,13879.0,37933.0,38270.0,3109.0,1042773,246071,107477,0
2021-02-02 00:10:00,11061.0,13196.0,32994.0,32964.0,2692.0,1026401,235586,101722,0
2021-02-02 00:20:00,9908.0,12564.0,28878.0,29390.0,2304.0,1016226,224580,96151,0
2021-02-02 00:30:00,8965.0,12489.0,26465.0,26880.0,2177.0,1021410,222701,93089,0
2021-02-02 00:40:00,7933.0,11297.0,23302.0,23238.0,1912.0,1002997,209167,88662,0
2021-02-02 00:50:00,6988.0,11004.0,20875.0,21273.0,1671.0,990494,200044,84301,0
2021-02-02 01:00:00,6375.0,10380.0,18463.0,18866.0,1531.0,982454,192900,80113,0
2021-02-02 01:10:00,5242.0,10503.0,16230.0,16501.0,1284.0,974805,187207,77089,0
2021-02-02 01:20:00,4659.0,9843.0,14500.0,14753.0,1177.0,990315,191966,74253,0
2021-02-02 01:30:00,4246.0,10023.0,13241.0,13270.0,1112.0,1026388,208097,73444,0
2021-02-02 01:40:00,3927.0,9049.0,12194.0,12197.0,1005.0,979927,181893,69479,0
2021-02-02 01:50:00,3383.0,8652.0,10502.0,10931.0,881.0,943970,164813,67662,0
2021-02-02 02:00:00,2957.0,10359.0,8545.0,8519.0,807.0,954319,170413,67589,0
2021-02-02 02:10:00,3160.0,12718.0,9122.0,9150.0,811.0,939810,165438,64902,0
2021-02-02 02:20:00,2726.0,11164.0,8226.0,8219.0,748.0,935639,161855,64963,0
2021-02-02 02:30:00,2599.0,10189.0,7681.0,7505.0,715.0,951341,159109,63435,0
2021-02-02 02:40:00,2366.0,10042.0,6863.0,6926.0,808.0,968887,158042,62417,0
2021-02-02 02:50:00,2286.0,9729.0,6774.0,6978.0,599.0,928182,154254,58780,0
2021-02-02 03:00:00,2109.0,18676.0,6832.0,6934.0,638.0,961803,179986,58924,0
2021-02-02 03:10:00,2104.0,21100.0,6535.0,6491.0,596.0,952678,174453,59420,0
2021-02-02 03:20:00,1947.0,20658.0,6125.0,6082.0,576.0,941925,173528,58782,0
2021-02-02 03:30:00,1651.0,20778.0,4239.0,4272.0,581.0,943920,172953,57444,0
2021-02-02 03:40:00,1560.0,20551.0,4371.0,4387.0,563.0,962399,174434,57632,0
2021-02-02 03:50:00,1581.0,20503.0,4331.0,4390.0,604.0,966906,177125,55736,0
2021-02-02 04:00:00,1773.0,13107.0,4514.0,4501.0,648.0,939458,181354,56606,0
2021-02-02 04:10:00,1730.0,13245.0,4670.0,4677.0,596.0,960547,192942,53430,0
2021-02-02 04:20:00,1704.0,12529.0,4301.0,4381.0,671.0,947507,188650,53017,0
2021-02-02 04:30:00,1786.0,9474.0,4242.0,4222.0,687.0,936028,185513,53637,0
2021-02-02 04:40:00,1816.0,9114.0,4423.0,4541.0,777.0,947644,189256,53472,0
2021-02-02 04:50:00,1971.0,9267.0,4762.0,4820.0,793.0,977554,197238,54069,0
2021-02-02 05:00:00,2249.0,9399.0,5489.0,5527.0,942.0,970885,207213,55821,0
2021-02-02 05:10:00,2427.0,9186.0,6109.0,6114.0,1044.0,955390,203734,54457,0
2021-02-02 05:20:00,2576.0,9568.0,6199.0,6174.0,1059.0,992499,217591,55592,0
2021-02-02 05:30:00,2956.0,9920.0,6449.0,6517.0,1202.0,994996,233427,56925,0
2021-02-02 05:40:00,3448.0,10361.0,8140.0,7930.0,1390.0,1009141,246648,58106,0
2021-02-02 05:50:00,3674.0,10982.0,9007.0,8825.0,1445.0,1045277,265775,59554,0
2021-02-02 06:00:00,4316.0,12547.0,9759.0,9837.0,2093.0,1094429,294118,65256,0
2021-02-02 06:10:00,4913.0,12949.0,11127.0,11041.0,2160.0,1070610,301023,64997,0
2021-02-02 06:20:00,5465.0,12876.0,12642.0,12909.0,2336.0,1090164,316457,67424,0
